,CnBio_ID,Donation_Score,Volunteering_Score,Engagement_Score
0,201925935,0.0,0.0,0.0
1,201927130,0.0,0.0,0.0
2,201927129,0.0,0.0,0.0
3,201721483,0.0,0.0,0.0
4,201515380,0.0,0.0,0.0
5,201928886,0.0,0.0,0.0
6,9852,0.0,0.0,0.0
7,201414813,0.0,0.0,0.0
8,202029065,0.0,0.0,0.0
9,201516299,0.0,0.0,0.0
10,201515582,0.0,0.0,0.0
11,9911,0.0,0.0,0.0
12,201618766,0.0,0.0,0.0
13,8792,0.0,0.0,0.0
14,201518028,0.0,0.0,0.0
15,202129802,0.0,0.0,0.0
16,5975,0.0,0.0,0.0
17,201619299,0.0,0.0,0.0
18,7163,0.0,0.0,0.0
19,292,0.0,0.0,0.0
20,202332218,3.5,0.0,1.75
21,201924115,0.0,0.0,0.0
22,201924193,0.0,0.0,0.0
23,201311584,0.0,0.0,0.0
24,201515531,0.0,0.0,0.0
25,4948,0.0,0.0,0.0
26,2793,0.0,0.0,0.0
27,624,0.0,0.0,0.0
28,201926952,2.8,0.0,1.4
29,201517486,0.0,0.0,0.0
30,201414664,0.0,0.0,0.0
31,201923790,0.0,0.0,0.0
32,201516665,0.0,0.0,0.0
33,202231317,7.0,0.0,3.5
34,201618331,0.0,0.0,0.0
35,8888,0.0,0.0,0.0
36,202231183,0.0,0.0,0.0
37,201516025,0.0,0.0,0.0
38,201620120,0.0,0.0,0.0
39,202130154,1.7,0.0,0.85
40,201822588,0.0,0.0,0.0
41,201413583,0.0,0.0,0.0
42,6244,0.0,0.0,0.0
43,201414513,0.0,0.0,0.0
44,202231764,0.0,5.8,2.9
45,201928061,0.0,0.0,0.0
46,201720544,0.0,0.0,0.0
47,202130835,0.0,0.0,0.0
48,201822905,0.0,0.0,0.0
49,201619163,0.0,0.0,0.0
50,202129766,0.0,6.8,3.4
51,201516489,0.0,0.0,0.0
52,8347,0.0,0.0,0.0
53,201414542,0.0,0.0,0.0
54,202028925,0.0,0.0,0.0
55,202332086,4.0,0.0,2.0
56,2624,0.0,0.0,0.0
57,202331954,0.0,1.6,0.8
58,201516601,0.0,0.0,0.0
59,4988,0.0,0.0,0.0
60,202130584,0.0,0.0,0.0
61,202029071,0.0,0.0,0.0
62,201517209,0.0,0.0,0.0
63,201721762,0.0,0.0,0.0
64,201412699,0.0,0.0,0.0
65,201618225,0.0,0.0,0.0
66,201414221,0.0,0.0,0.0
67,2967,0.0,0.0,0.0
68,202129682,0.0,0.0,0.0
69,201927328,0.0,0.0,0.0
70,202129684,0.0,0.0,0.0
71,202029535,0.0,0.0,0.0
72,4677,0.0,0.0,0.0
73,201516928,0.0,0.0,0.0
74,201926021,0.0,0.0,0.0
75,201822576,0.0,0.0,0.0
76,201619913,0.0,0.0,0.0
77,201517631,0.0,0.0,0.0
78,201517751,0.0,0.0,0.0
79,202231515,4.1000000000000005,0.0,2.0500000000000003
80,201413528,0.0,0.0,0.0
81,201823249,0.0,0.0,0.0
82,201619991,0.0,0.0,0.0
83,201413612,0.0,0.0,0.0
84,201516963,0.0,0.0,0.0
85,201927092,4.6000000000000005,0.0,2.3000000000000003
86,201619907,0.0,0.0,0.0
87,7287,0.0,0.0,0.0
88,201414438,0.0,0.0,0.0
89,201515383,0.0,0.0,0.0
90,202130399,3.4000000000000004,0.0,1.7000000000000002
91,202029269,4.5,0.0,2.25
92,201924579,0.0,0.0,0.0
93,202028923,0.0,0.0,0.0
94,201515546,0.0,0.0,0.0
95,201517345,0.0,0.0,0.0
96,693,0.0,0.0,0.0
97,6405,0.0,0.0,0.0
98,6844,0.0,0.0,0.0
99,202331955,0.0,1.6,0.8
100,5071,0.0,0.0,0.0
101,201925944,0.0,0.0,0.0
102,202029492,0.0,0.0,0.0
103,202029618,1.2000000000000002,0.0,0.6000000000000001
104,201619071,0.0,0.0,0.0
105,201517666,0.0,0.0,0.0
106,201414256,0.0,0.0,0.0
107,201515976,0.0,0.0,0.0
108,202231652,0.0,3.9999999999999996,1.9999999999999998
109,6916,0.0,0.0,0.0
110,202130585,0.0,6.8,3.4
111,202331956,0.0,0.4,0.2
112,202231710,0.0,1.6,0.8
113,201413607,0.0,0.0,0.0
114,202231129,0.0,0.0,0.0
115,201515578,0.0,0.0,0.0
116,974,0.0,0.0,0.0
117,201721655,0.0,0.0,0.0
118,9653,0.0,0.0,0.0
119,202130586,0.0,0.0,0.0
120,201926328,0.0,0.0,0.0
121,201619552,0.0,0.0,0.0
122,201823237,0.0,0.0,0.0
123,7233,0.0,0.0,0.0
124,202129846,0.0,0.0,0.0
125,201414009,0.0,0.0,0.0
126,201517593,0.0,0.0,0.0
127,201823014,0.0,0.0,0.0
128,4916,0.0,0.0,0.0
129,201517474,0.0,0.0,0.0
130,201619450,0.0,0.0,0.0
131,201619145,0.0,0.0,0.0
132,201517584,0.0,0.0,0.0
133,201620005,0.0,0.0,0.0
134,201413917,0.0,0.0,0.0
135,201414518,0.0,0.0,0.0
136,201517770,0.0,0.0,0.0
137,201926031,0.0,0.0,0.0
138,201414752,0.0,0.0,0.0
139,8763,0.0,0.0,0.0
140,1954,0.0,0.0,0.0
141,201310986,0.0,0.0,0.0
142,202331926,0.0,4.6000000000000005,2.3000000000000003
143,201925931,0.0,0.0,0.0
144,201619003,0.0,0.0,0.0
145,202332207,2.6,0.0,1.3
146,201412498,0.0,0.0,0.0
147,5846,0.0,0.0,0.0
148,201414106,0.0,0.0,0.0
149,7825,0.0,0.0,0.0
150,9632,0.0,0.0,0.0
